Age,Attendance,Study_Hours,Previous_Score,Department,Final_Score
18,88.7,2.7,79.4,EEE,58.2
23,86.9,4.8,90.1,CSE,73.5
22,76.0,4.9,76.9,EEE,64.8
21,84.1,6.9,82.4,EEE,79.2
21,83.1,6.0,55.5,EEE,71.0
24,84.0,5.1,75.5,EEE,64.4
18,89.8,7.1,67.6,ECE,77.2
22,84.0,2.4,63.8,ECE,61.9
19,88.1,3.3,67.2,ECE,58.9
18,82.6,2.8,72.7,CSE,57.0
21,84.6,3.8,85.2,ECE,67.9
24,87.7,2.0,62.7,ECE,58.7
23,68.9,5.6,76.3,EEE,65.6
23,79.1,4.1,71.2,CSE,69.2
23,77.8,1.9,72.7,CSE,58.4
23,76.3,2.7,86.0,ECE,63.4
21,79.5,5.1,81.4,CSE,72.8
18,95.5,6.0,89.4,CSE,91.1
23,74.2,8.1,74.5,CSE,78.2
21,90.7,9.0,69.0,CSE,79.0
21,66.9,5.2,73.8,CSE,71.1
20,79.0,2.7,78.4,CSE,58.2
19,83.5,1.0,77.8,CSE,55.1
24,87.3,5.0,65.2,CSE,74.1
23,88.4,3.0,76.9,CSE,57.8
22,89.1,3.8,78.3,ECE,62.0
20,78.9,3.4,98.0,CSE,61.3
23,77.8,4.2,94.8,EEE,64.6
21,89.7,6.4,67.5,EEE,75.6
21,80.3,4.8,73.1,CSE,69.7
21,70.5,4.2,61.4,CSE,59.9
19,71.8,2.6,70.1,ECE,48.4
18,73.7,1.5,79.2,EEE,42.4
21,86.5,3.6,88.1,ECE,67.9
24,83.3,4.4,68.7,EEE,62.0
18,88.2,7.7,69.5,ECE,81.9
24,78.2,4.7,54.5,ECE,63.6
23,83.4,6.3,74.4,CSE,75.5
19,87.6,3.6,65.4,ECE,65.5
22,79.2,2.4,70.7,CSE,57.9
19,86.1,2.8,67.2,ECE,61.3
23,76.0,3.2,75.1,EEE,55.4
22,78.7,8.3,58.4,CSE,76.6
20,78.6,3.0,61.3,ECE,56.6
18,71.2,6.0,97.3,CSE,78.5
24,86.4,2.9,63.1,ECE,57.0
21,77.8,6.2,65.0,CSE,72.4
24,82.1,5.2,94.4,EEE,72.1
22,86.3,4.2,98.0,CSE,73.0
23,86.0,4.4,64.3,EEE,67.1
23,88.0,3.3,72.3,EEE,54.1
19,81.1,5.3,79.4,ECE,65.2
20,78.2,3.7,93.3,ECE,60.6
21,81.3,2.3,66.1,ECE,45.8
21,66.8,2.2,73.5,EEE,47.8
18,69.0,4.8,83.8,CSE,69.3
21,70.1,7.3,80.3,ECE,73.7
19,73.0,4.8,72.2,CSE,65.6
23,85.6,4.3,74.7,ECE,71.2
22,73.9,5.0,62.3,CSE,68.8
24,78.6,6.9,73.6,ECE,74.2
23,93.7,4.9,73.3,ECE,77.1
20,78.8,3.8,78.3,CSE,64.7
24,88.6,6.5,70.4,ECE,72.3
20,73.6,5.3,80.7,ECE,65.8
20,80.2,7.3,86.1,ECE,73.9
24,73.4,4.8,77.6,CSE,62.7
20,78.9,2.3,79.5,ECE,56.3
18,89.6,2.0,76.5,EEE,61.7
21,66.5,7.5,76.0,CSE,81.2
23,85.9,7.6,68.8,CSE,74.1
19,84.1,4.2,79.2,CSE,69.6
21,76.7,3.8,75.0,ECE,57.6
18,69.0,7.1,96.9,CSE,80.7
22,82.6,2.5,91.7,ECE,62.3
21,77.2,2.9,79.9,ECE,52.3
20,84.1,5.7,68.4,CSE,75.0
19,82.2,3.8,64.9,EEE,57.8
21,96.4,4.5,87.9,ECE,72.6
22,79.8,4.2,78.6,CSE,62.1
